Gender ,Age ,Job,Eduction ,Income,car ownership,driving license,Travel in week ,Travel distance (KM),Travel purpose ,AT,tt1,tc1,rfee1,tt2,tc2,mc2,cc2,tt3,tc3,tt4,tc4,Choice(Y)
MALE,18-30,School/ University Student,Graduate,31000–60000,No car,No,3 DAYS,5,work ,alone ,20,350,20000,15,400,50000,1000000,60,500,90,40,CS
MALE,18-30,School/ University Student,Graduate,31000–60000,No car,No,3 DAYS,10,shoping,family ,30,350,30000,25,400,30000,1600000,40,600,60,30,CS
MALE,18-30,School/ University Student,Graduate,31000–60000,No car,No,3 DAYS,20,amusement,friends ,40,450,40000,25,300,40000,1300000,60,550,60,30,PC
MALE,18-30,School/ University Student,Graduate,31000–60000,No car,No,3 DAYS,30,event,alone ,20,400,20000,30,350,30000,1000000,50,550,75,20,CS
FEMALE,18-30,Private Company Employee,Undergraduate,31000–60000,Have a personal car,Yes,5 DAYS,5,work ,alone ,20,350,20000,15,400,50000,0,60,500,90,40,CS
FEMALE,18-30,Private Company Employee,Undergraduate,31000–60000,Have a personal car,Yes,5 DAYS,10,shoping,family ,30,350,30000,25,400,30000,0,40,600,60,30,PC
FEMALE,18-30,Private Company Employee,Undergraduate,31000–60000,Have a personal car,Yes,5 DAYS,20,amusement,friends ,40,450,40000,25,300,40000,0,60,550,60,30,PC
FEMALE,18-30,Private Company Employee,Undergraduate,31000–60000,Have a personal car,Yes,5 DAYS,30,event,alone ,20,400,20000,30,350,30000,0,50,550,75,20,CS
FEMALE,18-30,Private Company Employee,Undergraduate,31000–60000,No car,No,4 DAYS,5,work ,alone ,20,350,20000,15,400,50000,1000000,60,500,90,40,CS
FEMALE,18-30,Private Company Employee,Undergraduate,31000–60000,No car,No,4 DAYS,10,shoping,family ,30,350,30000,25,400,30000,1600000,40,600,60,30,CS
FEMALE,18-30,Private Company Employee,Undergraduate,31000–60000,No car,No,4 DAYS,20,amusement,friends ,40,450,40000,25,300,40000,1300000,60,550,60,30,PC
FEMALE,18-30,Private Company Employee,Undergraduate,31000–60000,No car,No,4 DAYS,30,event,alone ,20,400,20000,30,350,30000,1000000,50,550,75,20,CS
MALE,18-30,School/ University Student,Graduate,31000–60000,Do not have a personal car but other family member has a car,No,2 DAYS,5,work ,alone ,20,350,20000,15,400,50000,0,60,500,90,40,CS
MALE,18-30,School/ University Student,Graduate,31000–60000,Do not have a personal car but other family member has a car,No,2 DAYS,10,shoping,family ,30,350,30000,25,400,30000,0,40,600,60,30,CS
MALE,18-30,School/ University Student,Graduate,31000–60000,Do not have a personal car but other family member has a car,No,2 DAYS,20,amusement,friends ,40,450,40000,25,300,40000,0,60,550,60,30,PC
MALE,18-30,School/ University Student,Graduate,31000–60000,Do not have a personal car but other family member has a car,No,2 DAYS,30,event,alone ,20,400,20000,30,350,30000,0,50,550,75,20,CS
MALE,31-40,Public Company Employee,Graduate,91000 – 120000,Have a personal car,Yes,5 DAYS,5,work ,alone ,20,350,20000,15,400,50000,0,60,500,90,40,CS
MALE,31-40,Public Company Employee,Graduate,91000 – 120000,Have a personal car,Yes,5 DAYS,10,shoping,family ,30,350,30000,25,400,30000,0,40,600,60,30,PC
MALE,31-40,Public Company Employee,Graduate,91000 – 120000,Have a personal car,Yes,5 DAYS,20,amusement,friends ,40,450,40000,25,300,40000,0,60,550,60,30,PC
MALE,31-40,Public Company Employee,Graduate,91000 – 120000,Have a personal car,Yes,5 DAYS,30,event,alone ,20,400,20000,30,350,30000,0,50,550,75,20,CS
MALE,18-30,Private Company Employee,Graduate,31000–60000,No car,No,2 DAYS,5,work ,alone ,20,350,20000,15,400,50000,1000000,60,500,90,40,PC
MALE,18-30,Private Company Employee,Graduate,31000–60000,No car,No,2 DAYS,10,shoping,family ,30,350,30000,25,400,30000,1600000,40,600,60,30,TX
MALE,18-30,Private Company Employee,Graduate,31000–60000,No car,No,2 DAYS,20,amusement,friends ,40,450,40000,25,300,40000,1300000,60,550,60,30,TX
MALE,18-30,Private Company Employee,Graduate,31000–60000,No car,No,2 DAYS,30,event,alone ,20,400,20000,30,350,30000,1000000,50,550,75,20,PC
MALE,18-30,School/ University Student,Graduate,91000 – 120000,No car,No,5 DAYS,5,work ,alone ,20,350,20000,15,400,50000,1000000,60,500,90,40,CS
MALE,18-30,School/ University Student,Graduate,91000 – 120000,No car,No,5 DAYS,10,shoping,family ,30,350,30000,25,400,30000,1600000,40,600,60,30,PC
MALE,18-30,School/ University Student,Graduate,91000 – 120000,No car,No,5 DAYS,20,amusement,friends ,40,450,40000,25,300,40000,1300000,60,550,60,30,BUS
MALE,18-30,School/ University Student,Graduate,91000 – 120000,No car,No,5 DAYS,30,event,alone ,20,400,20000,30,350,30000,1000000,50,550,75,20,CS
MALE,18-30,Unemployed,Graduate,0 – 30000,Have a personal car,Yes,3 DAYS,5,work ,alone ,20,350,20000,15,400,50000,0,60,500,90,40,TX
